"Username","Password","First Name"," Last Name","Department","Lock Out Status"
"10000","admin","Super","Admin","IT Operations and Systems","No"
"10001","admin","Manuel III","Garcia","Chief Executive Officer","No"
"10002","admin","Antonio","Lim","Chief Operating Officer","No"
"10003","admin","Bianca Sofia","Aquino","Chief Finance Officer","No"
"10004","admin","Isabella","Reyes","Chief Marketing Officer","No"
"10005","admin","Eduard","Hernandez","IT Operations and Systems","No"
"10006","admin","Andrea Mae","Villanueva","HR Manager","No"
"10007","admin","Brad","San Jose","HR Team Leader","No"
"10008","admin","Alice","Romualdez","HR Rank and File","No"
"10009","admin","Rosie","Atienza","HR Rank and File","No"
"10010","admin","Roderick","Alvaro","Accounting Head","No"
"10011","admin","Anthony","Salcedo","Payroll Manager","No"
"10012","admin","Josie","Lopez","Payroll Team Leader","No"
"10013","admin","Martha","Farala","Payroll Rank and File","No"
"10014","admin","Leila","Martinez","Payroll Rank and File","No"
"10015","admin","Fredrick","Romualdez","Account Manager","No"
"10016","admin","Christian","Mata","Account Team Leader","No"
"10017","admin","Selena","De Leon","Account Team Leader","No"
"10018","admin","Allison","San Jose","Account Rank and File","No"
"10019","admin","Cydney","Rosario","Account Rank and File","No"
"10020","admin","Mark","Bautista","Account Rank and File","No"
"10021","admin","Darlene","Lazaro","Account Rank and File","No"
"10022","admin","Kolby","Delos Santos","Account Rank and File","No"
"10023","admin","Vella","Santos","Account Rank and File","No"
"10024","admin","Tomas","Del Rosario","Account Rank and File","No"
"10025","admin","Jacklyn","Tolentino","Account Rank and File","No"
"10026","admin","Percival","Gutierrez","Account Rank and File","No"
"10027","admin","Garfield","Manalaysay","Account Rank and File","No"
"10028","admin","Lizeth","Villegas","Account Rank and File","No"
"10029","admin","Carol","Ramos","Account Rank and File","No"
"10030","admin","Emelia","Maceda","Account Rank and File","No"
"10031","admin","Delia","Aguilar","Account Rank and File","No"
"10032","admin","John Rafael","Castro","Sales & Marketing","No"
"10033","admin","Carlos Ian","Martinez","Supply Chain and Logistics","No"
"10034","admin","Beatriz","Santos","Customer Service","No"
"10035","admin","James","Ongo","IT Operations and Systems","No"
